2024-03-12 22:08:17,546 INFO    MainThread:10154 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_setup.py:_flush():76] Configure stats pid to 10154
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_setup.py:_flush():76] Loading settings from /Users/fangyuanyu/.config/wandb/settings
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_setup.py:_flush():76] Loading settings from /Users/fangyuanyu/Implementation/1bitNet/wandb/settings
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'toy_cifar_vit.py', 'program_abspath': '/Users/fangyuanyu/Implementation/1bitNet/toy_cifar_vit.py', 'program': '/Users/fangyuanyu/Implementation/1bitNet/toy_cifar_vit.py'}
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_init.py:_log_setup():526] Logging user logs to ./wandb/run-20240312_220817-x8gehx8p/logs/debug.log
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_init.py:_log_setup():527] Logging internal logs to ./wandb/run-20240312_220817-x8gehx8p/logs/debug-internal.log
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_init.py:init():566] calling init triggers
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-12 22:08:17,547 INFO    MainThread:10154 [wandb_init.py:init():616] starting backend
2024-03-12 22:08:17,548 INFO    MainThread:10154 [wandb_init.py:init():620] setting up manager
2024-03-12 22:08:17,549 INFO    MainThread:10154 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-12 22:08:17,551 INFO    MainThread:10154 [wandb_init.py:init():628] backend started and connected
2024-03-12 22:08:17,557 INFO    MainThread:10154 [wandb_init.py:init():720] updated telemetry
2024-03-12 22:08:17,582 INFO    MainThread:10154 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-12 22:08:18,683 INFO    MainThread:10154 [wandb_run.py:_on_init():2254] communicating current version
2024-03-12 22:08:18,756 INFO    MainThread:10154 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-12 22:08:18,757 INFO    MainThread:10154 [wandb_init.py:init():804] starting run threads in backend
2024-03-12 22:08:23,565 INFO    MainThread:10154 [wandb_run.py:_console_start():2233] atexit reg
2024-03-12 22:08:23,565 INFO    MainThread:10154 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-03-12 22:08:23,565 INFO    MainThread:10154 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-03-12 22:08:23,565 INFO    MainThread:10154 [wandb_run.py:_redirect():2178] Redirects installed.
2024-03-12 22:08:23,565 INFO    MainThread:10154 [wandb_init.py:init():847] run started, returning control to user process
